Title,ASIN,Product Description,Manufacturer
Gear Cello 30 Ltrs Black Laptop Backpack (LBPASPIRE0104),B075MK4TXP,,"5,922"
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",B0BTD4S4XF,,572
Skybags Brat Black 46 Cms Casual Backpack,B08Z1HHHTD,,"5,198"
American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),B07CJCGM1M,,"54,992"
"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",B0BTD4FK9G,,520
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,B09VCLZ3K4,,"3,239"
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),B09TPX22NF,,"1,023"
"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",B085MHDJ93,,"16,604"
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),B084JGJ8PF,,"11,860"
Tommy Hilfiger Joshua Laptop Backpack,B07N8GRWTZ,,533
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",B09B29F66W,,"2,986"
"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port Laptop Bag, Office bag, college bag and anti -theft back pocket (Black)",B09QJ7ZF2Y,,"2,320"
Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women (Brown),B07G4F6XFH,,"5,922"
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",B09VTDMRY7,,"4,940"
Gear Cello Classic Anti Theft Faux Leather 20 Ltrs Navy Laptop Backpack (LBPCLSLTH0519),B07G4JQX2F,,"6,497"
"Lunar's Unisex 50L Water Resistant Office/Travel/Business Laptop Backpack, Bag for up to 17.3 inch Laptop/MacBook with rain Cover and 2 Large compartments",B08NHL52MK,,"2,652"
"Arctic Hunter Laptop Bag Office Laptop Messenger Bag with 15.6-inch Laptop Pocket Removeable Shoulder Strap Anti-theft Laptop Office Briefcase with Hidden Pocket 4 Zipper Pocket Water-resistant Laptop Sling Bag for Men and Women, Black",B0B6G58BYC,,106
"AmazonBasics Water Repellent and Wear Resistant Laptop Backpack - 24L, Blue",B09W43XLBY,,651
HARISSONS Delta 39L Laptop Backpack (Black-Orange) for Office & Travel Purpose | School Bag for Children with a Multi-Purpose Handy Pouch and Dedicated Laptop Cradle (15.6 inch) | Water-Resistant,B07PBKQXCZ,,"1,720"
AmazonBasics - Mini Backpack for Outdoor Use (12 l) (Black),B0BRKFXT9Z,,546
GOCART WITH G LOGO Laptop Backpack Casual Daypacks Briefcase Convertible Business Travel Rucksack with USB Charging Port Large College School Bookbag Computer Laptop Bag,B0822H451W,,"1,455"
"ARCTIC HUNTER 15.6"" Laptop Bag (Flair) Anti-Theft Built-in Combination Lock, Side Bottle Pockets, Expandable, Waterproof for Office College Men Women",B09BVSNMS2,,76
"Hammonds Flycatcher Genuine Leather Laptop Bag for Men/Office Bag for Men, Brown | Fits Upto 16"" Laptop/MacBook| Bag with Shoulder Straps | Laptop Messenger Bag/Leather Bag for Men with Trolley Strap",B06ZYQCG92,,"2,719"
"Safari Seek 32 Ltrs Overnighter Travel Laptop Backpack (Blue), Water Resistant Spacious Bag for Travelling and Camping, All-Purpose Bag for Business & Leisure",B097JM98M1,,163
"HAMMONDS FLYCATCHER Genuine Leather Laptop Bag for Men - Office Bag, Brown Color - Fits Up to 14/15.6/16 Inch Laptop/MacBook - Laptop Messenger Bags/Leather Bag for Men with Adjustable Shoulder Strap",B07P2TQH78,,"4,911"
DAHSHA Stylish Nylon Sling Cross Body Travel Bag for Business Office Messenger One Side Shoulder Carry Handbag Bag For Men & Women (35X18x25 CM-grey),B07GCLJTZF,,423
Impulse 60 Litres Keep Discovering Light Waterproof Rucksack Trekking Hiking Camping Outdoor Camps Luggage Bags Tour Travel Backpack with Rain Cover,B09FQ3S2LG,,672
"Zipline Synthetic Leather Executive SMALL messenger bag for upto 13"" Laptop/Tablet for men women with multiple compartments",B099NM8621,,794
ADISA Laptop Backpack 31 Ltrs,B07G3CG9FC,,"8,968"
HAMMONDS FLYCATCHER Laptop Bag for Men - Genuine Leather Messenger Bag for Office - Fits up to 16 Inch Laptop -Brown Shoulder Bag with Multiple Compartments - Executive Leather Bag for Work and Travel,B01LYDRI9V,,"2,450"
COSMUS Darwin Dx Laptop Backpack - 29 litres Linen Polyester Durable Fabric Office Laptop Bag,B077P6ZL17,,"2,213"
WildHorn Leather Sling Messenger Bag for Men I Multipurpose Crossbody Bag I Travel Bag with Adjustable Strap I IDIMENSION: L- 8 inch H- 10.5 inch W- 2.75 inch,B0795WK59N,,800
